alpha,beta,llhd
10.5736842105263,36.8684210526316,-4978.29815773564
11.6210526315789,36.8684210526316,-5006.19001863022
12.6684210526316,36.8684210526316,-5033.95183367123
13.7157894736842,36.8684210526316,-5061.49924118936
14.7631578947368,36.8684210526316,-5088.7700392447
15.8105263157895,36.8684210526316,-5115.71900224022
16.8578947368421,36.8684210526316,-5142.31390057096
17.9052631578947,36.8684210526316,-5168.53245624558
18.9526315789474,36.8684210526316,-5194.36001581878
20.0,36.8684210526316,-5219.78776903092
0.1,39.4947368421053,-4755.73893656594
1.14736842105263,39.4947368421053,-4767.41599492442
2.19473684210526,39.4947368421053,-4784.96606632836
3.24210526315789,39.4947368421053,-4806.15286142394
4.28947368421053,39.4947368421053,-4829.77934700924
5.33684210526316,39.4947368421053,-4855.09443053255
6.38421052631579,39.4947368421053,-4881.57325097444
7.43157894736842,39.4947368421053,-4908.82279867346
8.47894736842105,39.4947368421053,-4936.54062779828
9.52631578947368,39.4947368421053,-4964.4937992108
10.5736842105263,39.4947368421053,-4992.50448464574
11.6210526315789,39.4947368421053,-5020.43834341469
12.6684210526316,39.4947368421053,-5048.19492689874
13.7157894736842,39.4947368421053,-5075.69993690199
14.7631578947368,39.4947368421053,-5102.89912989941
15.8105263157895,39.4947368421053,-5129.75359617587
16.8578947368421,39.4947368421053,-5156.23613757027
17.9052631578947,39.4947368421053,-5182.3284995166
18.9526315789474,39.4947368421053,-5208.01925742272
20.0,39.4947368421053,-5233.30220054979
0.1,42.1210526315789,-4762.4310534863
1.14736842105263,42.1210526315789,-4776.2654357103
2.19473684210526,42.1210526315789,-4795.37006634667
3.24210526315789,42.1210526315789,-4817.70555117032
4.28947368421053,42.1210526315789,-4842.18527054125
5.33684210526316,42.1210526315789,-4868.12965539004
6.38421052631579,42.1210526315789,-4895.06408733696
7.43157894736842,42.1210526315789,-4922.63308095295
8.47894736842105,42.1210526315789,-4950.56328363014
9.52631578947368,42.1210526315789,-4978.64462820752
10.5736842105263,42.1210526315789,-5006.71730611227
11.6210526315789,42.1210526315789,-5034.6611641095
12.6684210526316,42.1210526315789,-5062.38692498812
