dis,sNumber,sTag,servArea,totInc,emInc,numStand,perMet,90Avg,q,ranked
SOUTHERN D1,86,FS86,Rowville,73,58,53,91.4,7.02,4,21
EASTERN,22,FS22,Ringwood,184,136,124,91.2,7.57,4,22
NORTHERN,11,FS11,Epping,134,111,101,91.0,8.0,4,23
WESTERN D2,44,FS44,Sunshine,209,169,153,90.5,7.75,4,24
SOUTHERN D2,94,FS94,Mornington,90,74,67,90.45,7.53,4,25
SOUTHERN D2,91,FS91,Frankston,285,240,217,90.4,8.22,4,26
WESTERN D3,64,FS64,Belmont,114,93,84,90.3,7.6,4,27
EASTERN,85,FS85,Boronia,97,82,74,90.2,7.18,4,28
SOUTHERN D1,25,FS25,Oakleigh,193,161,145,90.1,7.75,4,29
SOUTHERN D1,24,FS24,Malvern,189,158,141,89.2,8.13,4,30
NORTHERN,16,FS16,Greensborough,111,82,73,89.0,7.62,4,31
CENTRAL,39,FS39,Port Melbourne,159,141,125,88.7,7.78,4,32
NORTH & WEST REGIONAL,72,FS72,Mildura,126,106,94,88.7,7.9,4,33
CENTRAL,35,FS35,Windsor,526,472,417,88.3,7.95,4,34
WESTERN D1,47,FS47,Footscray,260,222,196,88.3,8.2,4,35
WESTERN D2,51,FS51,Keilor,142,102,90,88.2,7.95,4,36
SOUTHERN D1,33,FS33,Mentone,166,126,111,88.1,7.9,4,37
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,65,59,52,88.1,7.97,4,38
EASTERN,82,FS82,Eltham City,95,67,59,88.1,8.2,4,39
EASTERN,30,FS30,Templestowe,92,73,64,87.7,7.73,4,40
SOUTH & EAST REGIONAL,75,FS75,Shepparton,162,154,135,87.7,8.22,4,41
NORTHERN,15,FS15,Heidelberg,270,224,196,87.5,8.25,4,42
WESTERN D1,42,FS42,Newport,127,111,97,87.4,7.97,4,43
NORTHERN,81,FS81,South Morang,68,63,55,87.3,7.82,4,44
NORTHERN,7,FS7,Thomastown,160,115,100,87.0,8.07,4,45
NORTHERN,14,FS14,Bundoora,174,144,125,86.8,7.82,4,46
CENTRAL,18,FS18,Hawthorn,236,191,165,86.4,8.13,4,47
CENTRAL,50,FS50,Ascot Vale,255,229,196,85.6,8.4,4,48
WESTERN D2,48,FS48,Taylors Lakes,74,61,52,85.2,8.47,4,49
NORTH & WEST REGIONAL,68,FS68,Lucas,61,54,46,85.2,8.15,4,50
NORTH & WEST REGIONAL,71,FS71,Portland,31,27,23,85.2,8.05,4,51
SOUTH & EAST REGIONAL,77,FS77,Traralgon,84,73,62,84.9,8.4,4,52
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,62,53,45,84.9,8.17,4,53
SOUTHERN D1,31,FS31,Glen Waverley,281,244,207,84.8,8.38,4,54
SOUTHERN D2,88,FS88,Hallam,190,145,120,82.8,8.87,4,55
SOUTHERN D2,87,FS87,Dandenong,297,242,200,82.6,8.83,4,56
WESTERN D1,46,FS46,Altona,46,34,28,82.4,7.83,4,57
