env_step,rew,rew_std,Agent
2641920,383.2675,59.8544,REINFORCE
2672640,383.3281,53.5628,REINFORCE
2703360,380.186,51.4936,REINFORCE
2734080,357.4304,92.4873,REINFORCE
2764800,372.8371,62.6374,REINFORCE
2795520,369.476,93.6221,REINFORCE
2826240,377.2572,53.0474,REINFORCE
2856960,387.0054,83.6139,REINFORCE
2887680,411.9642,52.4265,REINFORCE
2918400,377.7804,61.193,REINFORCE
2949120,393.2933,47.9778,REINFORCE
2979840,376.6218,34.4225,REINFORCE
3010560,402.7766,51.016,REINFORCE
3041280,397.0908,52.792,REINFORCE
3072000,367.9954,50.4738,REINFORCE
3102720,393.0217,40.7415,REINFORCE
3133440,382.9788,73.7203,REINFORCE
3164160,392.1084,80.7669,REINFORCE
3194880,368.0044,109.1821,REINFORCE
3225600,365.6822,102.6338,REINFORCE
3256320,382.1389,90.5947,REINFORCE
3287040,369.5934,119.2678,REINFORCE
3317760,393.8103,75.0153,REINFORCE
3348480,395.4096,55.3204,REINFORCE
3379200,397.228,45.0803,REINFORCE
3409920,375.64,70.85210000000001,REINFORCE
3440640,365.7149,95.5683,REINFORCE
3471360,403.0538,87.3548,REINFORCE
3502080,380.4232,69.2007,REINFORCE
3532800,365.7752,60.142,REINFORCE
3563520,412.5866,75.7224,REINFORCE
3594240,381.8078,49.9293,REINFORCE
3624960,365.5222,71.6263,REINFORCE
3655680,377.7163,91.3498,REINFORCE
3686400,383.1321,85.0593,REINFORCE
3717120,383.9464,66.19,REINFORCE
3747840,385.9448,67.9891,REINFORCE
3778560,400.476,72.4173,REINFORCE
3809280,388.3522,75.5529,REINFORCE
3840000,370.6014,51.1635,REINFORCE
3870720,375.0117,51.0137,REINFORCE
3901440,379.3578,86.254,REINFORCE
3932160,344.8633,88.2011,REINFORCE
3962880,374.3863,95.5118,REINFORCE
3993600,365.4688,36.3682,REINFORCE
4024320,366.4785,71.8855,REINFORCE
4055040,391.0318,87.9838,REINFORCE
4085760,381.0298,134.4287,REINFORCE
4116480,376.8203,122.3133,REINFORCE
4147200,385.0486,122.6676,REINFORCE
4177920,392.2119,84.2356,REINFORCE
4208640,390.4859,102.2499,REINFORCE
4239360,375.6258,86.9314,REINFORCE
4270080,360.4221,83.6774,REINFORCE
4300800,391.1976,126.0342,REINFORCE
4331520,400.9994,130.515,REINFORCE
4362240,390.3708,130.4103,REINFORCE
4392960,418.1074,143.7854,REINFORCE
4423680,389.2711,127.9304,REINFORCE
4454400,400.3435,93.977,REINFORCE
4485120,392.0837,70.1953,REINFORCE
4515840,384.8207,52.8932,REINFORCE
4546560,388.1618,70.1572,REINFORCE
4577280,404.4836,32.4901,REINFORCE
4608000,369.5814,48.7199,REINFORCE
4638720,389.792,71.4531,REINFORCE
4669440,398.5943,44.3371,REINFORCE
4700160,402.502,96.5453,REINFORCE
