ID,Name,Mobility,State,Population,Urban,Black,Seg_racial,Seg_income,Seg_poverty,Seg_affluence,Commute,Income,Gini,Share01,Gini_99,Middle_class,Local_tax_rate,Local_gov_spending,Progressivity,EITC,School_spending,Student_teacher_ratio,Test_scores,HS_dropout,Colleges,Tuition,Graduation,Labor_force_participation,Manufacturing,Chinese_imports,Teenage_labor,Migration_in,Migration_out,Foreign_born,Social_capital,Religious,Violent_crime,Single_mothers,Divorced,Married,Longitude,Latitude
19700,Philadelphia,0.0740116686,PA,5602247,1,0.193,0.376,0.122,0.111,0.13,0.246,43746,0.491,15.29,0.338,0.461,0.029,2877.0,0.0,0.0,7.967,18.7,-3.101,0.007,0.012,10851.0,0.004,0.636,0.117,0.778,0.005,0.013,0.014,0.071,0.068,0.561,0.003,0.239,0.08,0.512,-75.3061828613281,39.8666076660156
19800,Wilmington,0.0657239258,DE,586216,1,0.176,0.216,0.091,0.078,0.1,0.251,44620,0.427,13.844,0.289,0.469,0.013,1737.0,0.75,0.0,7.584,17.7,-3.338,0.006,0.012,4385.0,0.051,0.682,0.136,0.54,0.005,0.028,0.024,0.059,0.111,0.435,0.004,0.23,0.097,0.531,-75.7440795898438,39.5715065002441
19901,Dover,0.0625960082,DE,439269,1,0.196,0.131,0.03,0.028,0.029,0.358,36398,0.449,9.882,0.35,0.509,0.017,1965.0,0.75,0.0,6.835,16.7,5.869,0.001,0.018,5194.0,-0.025,0.621,0.127,0.426,0.006,0.027,0.012,0.039,-0.757,0.368,0.005,0.255,0.097,0.557,-75.5329818725586,38.5384826660156
19902,Easton,0.0626359284,MD,154018,1,0.163,0.111,0.056,0.045,0.064,0.32,43805,0.48,14.508,0.335,0.517,0.019,1702.0,1.0,11.429,6.562,17.7,0.006,-0.001,0.013,14255.0,0.003,0.647,0.12,0.394,0.007,0.026,0.015,0.026,-0.476,0.43,0.002,0.227,0.091,0.577,-76.0423736572266,38.7869148254395
19903,Chincoteague,0.0445141047,VA,51398,0,0.343,0.084,0.007,0.003,0.009,0.393,31562,0.477,11.521,0.362,0.399,0.02,1947.0,0.0,0.0,5.638,,5.172,0.023,0.019,1114.0,-0.059,0.586,0.164,0.432,0.005,0.006,0.009,0.04,-0.453,0.339,0.002,0.293,0.085,0.536,-75.6961898803711,37.6719169616699
20001,Bangor,0.0809096843,ME,289843,1,0.003,0.065,0.028,0.027,0.03,0.403,32900,0.397,8.898,0.308,0.586,0.027,1720.0,0.0,0.234,6.669,15.7,3.767,-0.007,0.024,4991.0,0.141,0.635,0.121,2.789,0.005,0.014,0.013,0.023,0.392,0.292,0.001,0.207,0.118,0.561,-69.0667114257812,44.9682998657227
20002,Calais,0.0680272132,ME,33941,0,0.002,0.196,0.008,0.007,0.009,0.493,26505,0.377,6.18,0.316,0.529,0.024,1529.0,0.0,0.234,7.988,13.7,4.963,-0.009,0.059,2701.0,0.165,0.57,0.138,0.53,0.007,0.011,0.013,0.04,-0.723,0.259,0.001,0.213,0.114,0.565,-67.6050033569336,44.9989395141602
20003,Presque Isle,0.0855855867,ME,73938,0,0.004,0.057,0.008,0.009,0.009,0.512,27952,0.368,7.492,0.293,0.6,0.023,1769.0,0.0,0.234,6.823,15.7,3.045,-0.027,,,-0.02,0.586,0.125,1.271,0.006,0.011,0.012,0.059,-0.661,0.608,0.001,0.176,0.091,0.588,-68.5269775390625,46.3964767456055
20100,Portland,0.0805980191,ME,690459,1,0.006,0.052,0.054,0.05,0.055,0.363,37252,0.439,13.348,0.306,0.574,0.027,1931.0,0.0,0.234,6.85,15.9,2.793,-0.009,0.013,3538.0,0.064,0.664,0.141,2.669,0.006,0.016,0.014,0.028,0.334,0.365,0.001,0.211,0.118,0.555,-69.9392471313477,44.7340354919434
20200,Burlington,0.0931878537,VT,321496,1,0.006,0.044,0.062,0.058,0.067,0.366,37131,0.405,11.589,0.289,0.558,0.03,1866.0,5.9,21.333,9.101,14.8,6.641,,0.016,12201.0,0.239,0.706,0.161,1.427,0.006,0.012,0.013,0.044,0.451,0.422,0.001,0.182,0.1,0.542,-73.0345230102539,44.0672149658203
