Date,Price,Open,High,Low,Vol,Change,Unit,vol2,Volume,Year,Source
"Nov 28, 2018",122.74,111.19,126.6,111.19,5.41M,10.40%,M,5.41,5410.00,2018,
"Nov 27, 2018",111.18,110.08,113.67,102.84,5.42M,1.00%,M,5.42,5420.00,2018,
"Nov 26, 2018",110.08,118.03,120.56,106.44,5.09M,-6.75%,M,5.09,5090.00,2018,
"Nov 25, 2018",118.04,114.42,121.1,102.8,6.74M,3.15%,M,6.74,6740.00,2018,
"Nov 24, 2018",114.43,124.63,129.34,111.79,3.81M,-8.19%,M,3.81,3810.00,2018,
"Nov 23, 2018",124.64,126.17,128.08,119.76,4.47M,-1.17%,M,4.47,4470.00,2018,
"Nov 22, 2018",126.12,137.75,139.74,125.93,2.92M,-8.42%,M,2.92,2920.00,2018,
"Nov 21, 2018",137.72,132.9,140.86,126.84,5.12M,3.61%,M,5.12,5120.00,2018,
"Nov 20, 2018",132.92,150.27,153.55,127.3,7.69M,-11.46%,M,7.69,7690.00,2018,
"Nov 19, 2018",150.12,178.76,178.93,146.86,5.23M,-15.97%,M,5.23,5230.00,2018,
"Nov 18, 2018",178.65,176.53,182.07,176.06,1.59M,1.20%,M,1.59,1590.00,2018,
"Nov 17, 2018",176.53,176.99,177.93,174.94,44.19M,-0.27%,M,44.19,44190.00,2018,
"Nov 16, 2018",177.01,184.1,184.88,175.29,43.39M,-3.85%,M,43.39,43390.00,2018,
"Nov 15, 2018",184.1,187.51,189.79,171.99,69.51M,-1.79%,M,69.51,69510.00,2018,
"Nov 14, 2018",187.46,210.44,210.59,177.34,45.72M,-10.92%,M,45.72,45720.00,2018,
"Nov 13, 2018",210.44,212.79,213.88,209.4,27.77M,-1.10%,M,27.77,27770.00,2018,
"Nov 12, 2018",212.79,213.1,214.95,211.54,17.81M,-0.18%,M,17.81,17810.00,2018,
"Nov 11, 2018",213.18,213.19,214.22,209.51,48.66M,-0.01%,M,48.66,48660.00,2018,
"Nov 10, 2018",213.21,211.39,215.47,210.61,10.44M,0.86%,M,10.44,10440.00,2018,
"Nov 09, 2018",211.39,212.87,215.26,209.23,3.47M,-0.70%,M,3.47,3470.00,2018,
"Nov 08, 2018",212.87,218.8,220.53,212.79,23.56M,-2.71%,M,23.56,23560.00,2018,
"Nov 07, 2018",218.8,220.22,224.64,217.16,15.96M,-0.65%,M,15.96,15960.00,2018,
"Nov 06, 2018",220.22,210.67,221.32,209.15,33.87M,4.54%,M,33.87,33870.00,2018,
"Nov 05, 2018",210.67,211.86,212.42,207.82,77.47M,-0.56%,M,77.47,77470.00,2018,
"Nov 04, 2018",211.86,200.27,218.35,199.38,54.20M,5.81%,M,54.20,54200.00,2018,
"Nov 03, 2018",200.23,202.67,203.16,199.63,8.62M,-1.20%,M,8.62,8620.00,2018,
"Nov 02, 2018",202.66,198.17,203.75,198.13,7.26M,2.27%,M,7.26,7260.00,2018,
"Nov 01, 2018",198.17,198.59,199.79,197.84,12.55M,-0.21%,M,12.55,12550.00,2018,
"Oct 31, 2018",198.59,197.27,201.89,193,19.69M,0.61%,M,19.69,19690.00,2018,
"Oct 30, 2018",197.39,196.83,198.96,195.28,22.41M,0.17%,M,22.41,22410.00,2018,
"Oct 29, 2018",197.05,204.84,205.79,195.03,17.76M,-3.87%,M,17.76,17760.00,2018,
"Oct 28, 2018",204.99,204.36,205.52,203.05,9.11M,0.31%,M,9.11,9110.00,2018,
"Oct 27, 2018",204.36,204.78,206.22,203.06,9.76M,-0.11%,M,9.76,9760.00,2018,
"Oct 26, 2018",204.58,204.08,208.94,203.19,13.99M,0.23%,M,13.99,13990.00,2018,
"Oct 25, 2018",204.11,205.12,206.12,202.99,15.68M,-0.49%,M,15.68,15680.00,2018,
"Oct 24, 2018",205.12,205.68,207.86,205,18.18M,-0.27%,M,18.18,18180.00,2018,
