OBJECTID_1,OBJECTID,UPlCode,UPlType,UPlName,UPlAAdmin,UPlArea,SHAPE_Leng,Shape_Le_1,UPZID,Popul_Total,Men_20,Women_20,DEN_POPUL,Cnt_UPlCod,Shape__Area,Shape__Length
89,89,UPZ30,1,BOYACA REAL,"Dcto. 070-26/02/2002 Mod.=Res 882/2005,995/2006,0523/2006 (Gacetas 401/2005,448/2006,429/2006,514/2009)",4537818.20272,0.08043806554999999,0.08043806446480001,30,120366,47.6,52.4,272.9,149,0.00036956856001700003,0.080438064464789
90,90,UPZ116,1,ALAMOS, ,2002441.40285,0.08117443205699999,0.0811744324938,116,13924,48.2,51.8,70.0,31,0.00016308064203900003,0.0811744324938
91,91,UPZ35,1,CIUDAD JARDIN,Dcto. 116-15/04/2005 (Gaceta 361/2005),1332391.85019,0.0484840414671,0.0484840411571,35,30875,48.3,51.7,237.7,28,0.00010849329100800001,0.048484041157052
92,92,UPZ38,1,RESTREPO,"Dcto. 224/08/06/2011Modifica 298-09/07/2002 Mod.=Res 171/2005, 700/2007 (Gaceta 477/2007)",3547155.14867,0.0954331937554,0.0954331945012,38,77275,48.4,51.6,225.9,68,0.000288845569428,0.095433194501242
93,93,UPZ41,1,MUZU,"Dcto. 074-15/03/2006 Mod.=Res 865/2006 (Gacetas 483/2007, 438/2006)",2528220.51449,0.062765754677,0.06276575515999999,41,56588,46.5,53.5,226.3,76,0.00020587571933100001,0.062765755160037
94,94,UPZ40,1,CIUDAD MONTES,Dcto. 413-04/11/2005 (Gac 391/2005),4455786.99226,0.0798554168747,0.079855417057,40,106379,46.7,53.3,254.2,87,0.000362843759688,0.07985541705695001
95,95,UPZ34,1,20 DE JULIO,Dcto. 353-04/09/2006 (Gaceta 436/2006) Mod.=Dec 458/2009 (Gaceta 525/2009),2625356.68692,0.0617637864858,0.0617637867966,34,91464,48.4,51.6,348.4,74,0.00021377571198300001,0.061763786796617
96,96,UPZ84,1,BOSA OCCIDENTAL,"Dcto. 408-23/12/2004 Mod.=Res 1115/2006 (Gaceta 458/2007), Reso 1297/2008",4303798.53918,0.10628509197,0.106285092685,84,183249,49.5,50.5,449.9,129,0.000350474853064,0.10628509268512701
97,97,UPZ85,1,BOSA CENTRAL,Dcto. 313-06/09/2005 (Gaceta 384/2005),7146564.9201,0.148016122045,0.148016123297,85,224461,48.7,51.3,349.0,201,0.0005819601501570001,0.148016123297045
98,98,UPZ32,1,SAN BLAS,Dcto. 378-13/09/2006 (Gaceta 440/2006),4000322.31683,0.15728798376699998,0.157287988224,32,95652,49.0,51.0,276.2,113,0.00032573420972400004,0.15728798822386902
99,99,UPZ95,1,LAS CRUCES,Dcto. 492-26/10/2007,923683.068121,0.0426182347503,0.0426182359461,95,23361,50.8,49.2,252.9,34,7.52182849907967e-05,0.042618235946079004
100,100,UPZ87,1,TINTAL SUR, ,5769039.17819,0.145472864655,0.145472864451,87,47752,47.2,52.8,155.8,47,0.000469798755801,0.14547286445131602
101,101,UPZ1,1,PASEO DE LOS LIBERTADORES, ,6309530.07318,0.164505560561,0.164505562468,1,3652,52.5,47.5,8.5,15,0.0005139275613990001,0.164505562468337
102,102,UPZ46,1,CASTILLA,Dcto. 429-28/12/2004 (Gaceta 348/2005) Mod.=Res 719/2004,5031965.71137,0.0889222707656,0.08892227092720001,46,129172,48.7,51.3,274.2,115,0.00040978326620600005,0.08892227092721701
103,103,UPZ112,1,GRANJAS DE TECHO,Dcto. 622-29/12/2006 (Gaceta 457/2007) Mod.=Res 624/2007 (Gaceta 477/2007),4776034.45073,0.09346924121360001,0.09346924136080001,112,24201,45.6,54.4,53.4,69,0.000388946891973,0.093469241360826
104,104,UPZ78,1,TINTAL NORTE, ,3433737.97638,0.0947091250136,0.0947091222434,78,34096,48.8,51.2,165.2,19,0.000279635918673,0.09470912224340401
105,105,UPZ117,1,AEROPUERTO EL DORADO, ,7430911.78466,0.135685652255,0.135685650736,117,863,57.4,42.6,1.2,24,0.00060518896592,0.13568565073552
106,106,UPZ77,1,ZONA FRANCA, ,4915888.33332,0.169968733904,0.169968732177,77,41808,47.0,53.0,141.1,26,0.000400349030797,0.169968732176891
107,107,UPZ54,1,MARRUECOS,Dcto. 406-23/12/2004 Mod.=Res 482/2007 (Gaceta 483/2007),3628884.97907,0.0791785266546,0.0791785254509,54,98303,50.3,49.7,319.0,60,0.000295487628449,0.07917852545086701
108,108,UPZ39,1,QUIROGA,Dcto. 297-09/07/2002 Mod.=Res 0483/2008 (Gaceta 499/2008)),3795817.45565,0.0849201144057,0.08492011409110001,39,85500,48.8,51.2,225.3,92,0.000309090855182,0.084920114091089
109,109,UPZ62,1,TUNJUELITO,Dcto. 072-15/03/2006,3272483.24721,0.0917465717827,0.0917465728076,62,57577,50.8,49.2,607.1,44,0.00026646740116100003,0.091746572807561
110,110,UPZ53,1,MARCO FIDEL SUAREZ,Dcto. 216-13/07/2005 (Gaceta 372/2005),1845365.61029,0.0566932820465,0.0566932808883,53,65243,48.6,51.4,369.6,53,0.00015026429952,0.056693280888326
111,111,UPZ69,1,ISMAEL PERDOMO,Dcto. 078-15/03/2006,5598956.44353,0.0947574192181,0.09475741857440001,69,167941,49.0,51.0,325.3,146,0.000455920973394,0.094757418574404
112,112,UPZ42,1,VENECIA,Dcto. 459-02/11/2010,6638420.2162,0.151209943602,0.151209944189,42,144433,48.7,51.3,236.4,149,0.000540562396935,0.15120994418865902
