Unnamed: 0,Date,Year,Energy Source,EnergyConsumption
334,2006,,6 Coal,1054.097046
335,2006,,8 Oil,1673.716797
336,2007,,1 Geo Biomass,3.142048359
337,2007,,3 Solar,0.142732784
338,2007,,4 Wind,2.873494387
339,2007,,5 Hydro,269.1854553
340,2007,,2 Nuclear,30.70724869
341,2007,,7 Gas,900.0696411
342,2007,,6 Coal,1071.633301
343,2007,,8 Oil,1734.740723
344,2008,,1 Geo Biomass,3.267395735
345,2008,,3 Solar,0.204168335
346,2008,,4 Wind,3.686172962
347,2008,,5 Hydro,272.48349
348,2008,,2 Nuclear,35.06555176
349,2008,,7 Gas,935.1621094
350,2008,,6 Coal,1180.725098
351,2008,,8 Oil,1824.850952
352,2009,,1 Geo Biomass,3.562722206
353,2009,,3 Solar,0.267598331
354,2009,,4 Wind,4.438264847
355,2009,,5 Hydro,278.0455933
356,2009,,2 Nuclear,34.31848145
357,2009,,7 Gas,940.8606567
358,2009,,6 Coal,1176.002075
359,2009,,8 Oil,1885.976318
360,2010,,1 Geo Biomass,3.76455307
361,2010,,3 Solar,0.59966141
362,2010,,4 Wind,6.341038704
363,2010,,5 Hydro,298.9256287
364,2010,,2 Nuclear,36.02827454
365,2010,,7 Gas,980.7318115
366,2010,,6 Coal,1164.840088
367,2010,,8 Oil,1966.2146
368,2011,,1 Geo Biomass,3.858768463
369,2011,,3 Solar,1.660955548
370,2011,,4 Wind,6.58354044
371,2011,,5 Hydro,305.5223999
372,2011,,2 Nuclear,34.1540947
373,2011,,7 Gas,1060.526978
374,2011,,6 Coal,1147.299316
375,2011,,8 Oil,1934.170898
376,2012,,1 Geo Biomass,4.042406559
377,2012,,3 Solar,2.721807241
378,2012,,4 Wind,6.897696018
379,2012,,5 Hydro,304.9770508
380,2012,,2 Nuclear,34.11926651
381,2012,,7 Gas,1146.770386
382,2012,,6 Coal,1118.487061
383,2012,,8 Oil,2046.829956
384,2013,,1 Geo Biomass,4.433248997
385,2013,,3 Solar,2.146321058
386,2013,,4 Wind,9.793644905
387,2013,,5 Hydro,320.6520691
388,2013,,2 Nuclear,36.89141464
389,2013,,7 Gas,1169.745483
390,2013,,6 Coal,1130.160645
391,2013,,8 Oil,2121.441406
392,2014,,1 Geo Biomass,5.4620471
393,2014,,3 Solar,5.158529282
394,2014,,4 Wind,13.70823193
395,2014,,5 Hydro,336.1504211
396,2014,,2 Nuclear,35.85942459
397,2014,,7 Gas,1202.319946
398,2014,,6 Coal,1183.80603
399,2014,,8 Oil,2143.333496
400,2015,,1 Geo Biomass,7.169681549
401,2015,,3 Solar,8.775348663
402,2015,,4 Wind,23.99623108
403,2015,,5 Hydro,324.2737122
404,2015,,2 Nuclear,31.62243271
405,2015,,7 Gas,1325.359863
406,2015,,6 Coal,1119.038574
407,2015,,8 Oil,2199.14502
408,2016,,1 Geo Biomass,7.231852055
409,2016,,3 Solar,14.41341496
410,2016,,4 Wind,29.9195652
411,2016,,5 Hydro,314.3547668
412,2016,,2 Nuclear,38.59990692
413,2016,,7 Gas,1370.495117
414,2016,,6 Coal,1186.287964
415,2016,,8 Oil,2210.926025
416,2017,,1 Geo Biomass,7.62603569
417,2017,,3 Solar,20.68731308
418,2017,,4 Wind,33.1529007
419,2017,,5 Hydro,336.2319031
420,2017,,2 Nuclear,36.24556351
421,2017,,7 Gas,1448.744873
422,2017,,6 Coal,1185.067139
423,2017,,8 Oil,2233.089844
424,2018,,1 Geo Biomass,8.172670364
425,2018,,3 Solar,26.59893036
426,2018,,4 Wind,39.07558823
427,2018,,5 Hydro,356.1150818
428,2018,,2 Nuclear,29.39964104
429,2018,,7 Gas,1543.550781
430,2018,,6 Coal,1163.599854
431,2018,,8 Oil,2257.501953
432,2019,,1 Geo Biomass,8.262966156
433,2019,,3 Solar,33.98899078
434,2019,,4 Wind,50.95765305
435,2019,,5 Hydro,367.500946
436,2019,,2 Nuclear,34.3906517
437,2019,,7 Gas,1549.72998
438,2019,,6 Coal,1231.316772
