date,state,city,lat,lon,priceMax,priceMin,priceMod,quantity,year
1999-01-01,MS,PIMPALGAON,20.1699678,73.98737870000001,558.0,411.0,501.0,197678.0,1999.0
1999-01-01,MS,PUNE,18.5204303,73.85674370000001,648.0,313.0,502.0,261782.0,1999.0
1999-01-01,MS,SINNAR,19.8530593,74.00063279999999,524.0,175.0,462.0,50788.0,1999.0
1999-02-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,332.0,276.0,308.0,401750.0,1999.0
1999-02-01,GUJ,MAHUVA,21.0902193,71.75631690000002,333.0,249.0,298.0,208000.0,1999.0
1999-02-01,MS,CHAKAN,18.7602664,73.86303459999999,361.0,200.0,287.0,50400.0,1999.0
1999-02-01,MS,LASALGAON,20.1491422,74.2326058,347.0,140.0,271.0,154785.0,1999.0
1999-02-01,MS,LONAND,18.041706,74.1861821,284.0,144.0,243.0,25500.0,1999.0
1999-02-01,MS,MANMAD,20.2511789,74.43660159999999,304.0,209.0,268.0,77500.0,1999.0
1999-02-01,MS,NIPHAD,20.0799646,74.10931409999999,353.0,185.0,314.0,21489.0,1999.0
1999-02-01,MS,PIMPALGAON,20.1699678,73.98737870000001,360.0,250.0,302.0,165305.0,1999.0
1999-02-01,MS,PUNE,18.5204303,73.85674370000001,379.0,238.0,321.0,348353.0,1999.0
1999-02-01,MS,SAIKHEDA,22.962215,78.5831181,304.0,186.0,256.0,17682.0,1999.0
1999-02-01,MS,SINNAR,19.8530593,74.00063279999999,278.0,107.0,246.0,30400.0,1999.0
1999-03-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,304.0,225.0,270.0,317500.0,1999.0
1999-03-01,GUJ,MAHUVA,21.0902193,71.75631690000002,317.0,210.0,267.0,187500.0,1999.0
1999-03-01,MS,CHAKAN,18.7602664,73.86303459999999,338.0,188.0,278.0,32250.0,1999.0
1999-03-01,MS,LASALGAON,20.1491422,74.2326058,292.0,110.0,233.0,228760.0,1999.0
1999-03-01,MS,LONAND,18.041706,74.1861821,292.0,217.0,260.0,23000.0,1999.0
1999-03-01,MS,MANMAD,20.2511789,74.43660159999999,258.0,134.0,218.0,89650.0,1999.0
1999-03-01,MS,NIPHAD,20.0799646,74.10931409999999,264.0,125.0,230.0,26656.0,1999.0
1999-03-01,MS,PIMPALGAON,20.1699678,73.98737870000001,265.0,162.0,214.0,151993.0,1999.0
1999-03-01,MS,PUNE,18.5204303,73.85674370000001,333.0,245.0,292.0,353155.0,1999.0
1999-03-01,MS,SAIKHEDA,22.962215,78.5831181,274.0,157.0,236.0,9026.0,1999.0
1999-03-01,MS,SINNAR,19.8530593,74.00063279999999,254.0,57.0,216.0,22500.0,1999.0
1999-04-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,358.0,230.0,314.0,306150.0,1999.0
1999-04-01,GUJ,MAHUVA,21.0902193,71.75631690000002,370.0,220.0,328.0,512000.0,1999.0
1999-04-01,MS,CHAKAN,18.7602664,73.86303459999999,440.0,243.0,376.0,33250.0,1999.0
1999-04-01,MS,LASALGAON,20.1491422,74.2326058,468.0,119.0,358.0,130225.0,1999.0
1999-04-01,MS,LONAND,18.041706,74.1861821,381.0,232.0,330.0,46100.0,1999.0
1999-04-01,MS,MANMAD,20.2511789,74.43660159999999,391.0,146.0,296.0,23570.0,1999.0
1999-04-01,MS,NIPHAD,20.0799646,74.10931409999999,453.0,149.0,353.0,11979.0,1999.0
1999-04-01,MS,PIMPALGAON,20.1699678,73.98737870000001,464.0,218.0,361.0,118147.0,1999.0
1999-04-01,MS,PUNE,18.5204303,73.85674370000001,400.0,252.0,354.0,390826.0,1999.0
1999-04-01,MS,SAIKHEDA,22.962215,78.5831181,407.0,181.0,351.0,12358.0,1999.0
1999-04-01,MS,SINNAR,19.8530593,74.00063279999999,407.0,51.0,333.0,34554.0,1999.0
1999-05-01,GUJ,BHAVNAGAR,21.7644725,72.1519304,425.0,350.0,390.0,10500.0,1999.0
1999-05-01,GUJ,MAHUVA,21.0902193,71.75631690000002,451.0,218.0,392.0,241000.0,1999.0
1999-05-01,MS,CHAKAN,18.7602664,73.86303459999999,586.0,200.0,434.0,28527.0,1999.0
1999-05-01,MS,LASALGAON,20.1491422,74.2326058,648.0,180.0,533.0,199710.0,1999.0
1999-05-01,MS,LONAND,18.041706,74.1861821,521.0,250.0,433.0,11032.0,1999.0
1999-05-01,MS,MANMAD,20.2511789,74.43660159999999,537.0,143.0,465.0,55100.0,1999.0
1999-05-01,MS,NIPHAD,20.0799646,74.10931409999999,599.0,160.0,450.0,36930.0,1999.0
1999-05-01,MS,PIMPALGAON,20.1699678,73.98737870000001,616.0,334.0,493.0,283161.0,1999.0
1999-05-01,MS,PUNE,18.5204303,73.85674370000001,555.0,317.0,489.0,403277.0,1999.0
1999-05-01,MS,SAIKHEDA,22.962215,78.5831181,514.0,232.0,457.0,23816.0,1999.0
1999-05-01,MS,SINNAR,19.8530593,74.00063279999999,547.0,96.0,430.0,34706.0,1999.0
1999-06-01,GUJ,MAHUVA,21.0902193,71.75631690000002,392.0,213.0,327.0,15849.0,1999.0
1999-06-01,MS,CHAKAN,18.7602664,73.86303459999999,499.0,214.0,397.0,8600.0,1999.0
1999-06-01,MS,LASALGAON,20.1491422,74.2326058,554.0,186.0,443.0,179780.0,1999.0
1999-06-01,MS,LONAND,18.041706,74.1861821,505.0,320.0,430.0,2700.0,1999.0
1999-06-01,MS,MANMAD,20.2511789,74.43660159999999,485.0,197.0,390.0,18950.0,1999.0
1999-06-01,MS,NIPHAD,20.0799646,74.10931409999999,530.0,205.0,424.0,32417.0,1999.0
1999-06-01,MS,PIMPALGAON,20.1699678,73.98737870000001,548.0,311.0,469.0,157910.0,1999.0
1999-06-01,MS,PUNE,18.5204303,73.85674370000001,531.0,313.0,478.0,324550.0,1999.0
1999-06-01,MS,SAIKHEDA,22.962215,78.5831181,458.0,265.0,412.0,14788.0,1999.0
1999-06-01,MS,SINNAR,19.8530593,74.00063279999999,477.0,64.0,405.0,27090.0,1999.0
1999-07-01,GUJ,MAHUVA,21.0902193,71.75631690000002,514.0,315.0,430.0,15950.0,1999.0
1999-07-01,MS,CHAKAN,18.7602664,73.86303459999999,485.0,150.0,381.0,13300.0,1999.0
1999-07-01,MS,LASALGAON,20.1491422,74.2326058,483.0,188.0,429.0,180555.0,1999.0
1999-07-01,MS,LONAND,18.041706,74.1861821,461.0,200.0,404.0,559.0,1999.0
1999-07-01,MS,MANMAD,20.2511789,74.43660159999999,463.0,245.0,436.0,37900.0,1999.0
