Unnamed: 0,Date,type,value,area
238,01-Dec-08,southwest_error,3.1144257,Southwest
239,01-Dec-08,england_error,1.8972015,England
240,01-Jan-09,northwest_error,1.6329041,Northwest
241,01-Jan-09,westmidlands_error,2.4595184,Westmidlands
242,01-Jan-09,london_error,1.090332,London
243,01-Jan-09,southwest_error,3.0619965,Southwest
244,01-Jan-09,england_error,1.9413986,England
245,01-Feb-09,northwest_error,1.5370483,Northwest
246,01-Feb-09,westmidlands_error,2.4377975,Westmidlands
247,01-Feb-09,london_error,1.1038055,London
248,01-Feb-09,southwest_error,2.8095703,Southwest
249,01-Feb-09,england_error,1.8855972,England
250,01-Mar-09,northwest_error,1.4504623,Northwest
251,01-Mar-09,westmidlands_error,2.327858,Westmidlands
252,01-Mar-09,london_error,0.93533325,London
253,01-Mar-09,southwest_error,2.5718918,Southwest
254,01-Mar-09,england_error,1.744873,England
255,01-Apr-09,northwest_error,1.4546051,Northwest
256,01-Apr-09,westmidlands_error,2.3061371,Westmidlands
257,01-Apr-09,london_error,0.84882355,London
258,01-Apr-09,southwest_error,2.6194611,Southwest
259,01-Apr-09,england_error,1.6890793,England
260,01-May-09,northwest_error,1.5618362,Northwest
261,01-May-09,westmidlands_error,1.9883423,Westmidlands
262,01-May-09,london_error,0.66831207,London
263,01-May-09,southwest_error,2.5719528,Southwest
264,01-May-09,england_error,1.5383072,England
265,01-Jun-09,northwest_error,1.5659866,Northwest
266,01-Jun-09,westmidlands_error,1.7666245,Westmidlands
267,01-Jun-09,london_error,0.38178253,London
268,01-Jun-09,southwest_error,2.5195236,Southwest
269,01-Jun-09,england_error,1.3825073,England
270,01-Jul-09,northwest_error,1.6732178,Northwest
271,01-Jul-09,westmidlands_error,1.5488281,Westmidlands
272,01-Jul-09,london_error,0.001281738,London
273,01-Jul-09,southwest_error,2.1720123,Southwest
274,01-Jul-09,england_error,1.1317291,England
275,01-Aug-09,northwest_error,1.5773621,Northwest
276,01-Aug-09,westmidlands_error,1.2271118,Westmidlands
277,01-Aug-09,london_error,-0.28524017,London
278,01-Aug-09,southwest_error,1.6195831,Southwest
279,01-Aug-09,england_error,0.87593079,England
280,01-Sep-09,northwest_error,1.2815094,Northwest
281,01-Sep-09,westmidlands_error,0.90539551,Westmidlands
282,01-Sep-09,london_error,-0.57175446,London
283,01-Sep-09,southwest_error,1.5671539,Southwest
284,01-Sep-09,england_error,0.62013245,England
285,01-Oct-09,northwest_error,1.1887436,Northwest
286,01-Oct-09,westmidlands_error,0.58759308,Westmidlands
287,01-Oct-09,london_error,-0.95227051,London
288,01-Oct-09,southwest_error,1.1196518,Southwest
289,01-Oct-09,england_error,0.2693634,England
290,01-Nov-09,northwest_error,1.0928879,Northwest
291,01-Nov-09,westmidlands_error,0.26587677,Westmidlands
292,01-Nov-09,london_error,-1.3387909,London
293,01-Nov-09,southwest_error,0.96722412,Southwest
294,01-Nov-09,england_error,-0.08644104,England
295,01-Dec-09,northwest_error,1.0001221,Northwest
296,01-Dec-09,westmidlands_error,0.048088074,Westmidlands
297,01-Dec-09,london_error,-1.6192932,London
298,01-Dec-09,southwest_error,0.7197113,Southwest
299,01-Dec-09,england_error,-0.43721008,England
300,01-Jan-10,northwest_error,0.80426025,Northwest
301,01-Jan-10,westmidlands_error,-0.17363739,Westmidlands
302,01-Jan-10,london_error,-1.9058228,London
303,01-Jan-10,southwest_error,0.46727753,Southwest
304,01-Jan-10,england_error,-0.69300842,England
305,01-Feb-10,northwest_error,0.70840454,Northwest
306,01-Feb-10,westmidlands_error,-0.39535522,Westmidlands
307,01-Feb-10,london_error,-2.192337,London
308,01-Feb-10,southwest_error,0.11485291,Southwest
309,01-Feb-10,england_error,-1.0488129,England
310,01-Mar-10,northwest_error,0.62181854,Northwest
311,01-Mar-10,westmidlands_error,-0.40529633,Westmidlands
312,01-Mar-10,london_error,-2.4608078,London
313,01-Mar-10,southwest_error,-0.12281799,Southwest
314,01-Mar-10,england_error,-1.189537,England
315,01-Apr-10,northwest_error,0.52596283,Northwest
316,01-Apr-10,westmidlands_error,-0.62701416,Westmidlands
317,01-Apr-10,london_error,-2.7473297,London
318,01-Apr-10,southwest_error,-0.37524414,Southwest
319,01-Apr-10,england_error,-1.4453354,England
320,01-May-10,northwest_error,0.53320313,Northwest
321,01-May-10,westmidlands_error,-0.74481201,Westmidlands
322,01-May-10,london_error,-2.8278351,London
323,01-May-10,southwest_error,-0.52275848,Southwest
324,01-May-10,england_error,-1.496109,England
325,01-Jun-10,northwest_error,0.53734589,Northwest
326,01-Jun-10,westmidlands_error,-0.86653137,Westmidlands
327,01-Jun-10,london_error,-3.0143585,London
328,01-Jun-10,southwest_error,-0.67518616,Southwest
329,01-Jun-10,england_error,-1.6519089,England
330,01-Jul-10,northwest_error,0.54457855,Northwest
331,01-Jul-10,westmidlands_error,-0.98432159,Westmidlands
332,01-Jul-10,london_error,-2.994873,London
333,01-Jul-10,southwest_error,-0.7226944,Southwest
334,01-Jul-10,england_error,-1.7026825,England
335,01-Aug-10,northwest_error,0.54872131,Northwest
336,01-Aug-10,westmidlands_error,-0.90603638,Westmidlands
337,01-Aug-10,london_error,-3.0813828,London
338,01-Aug-10,southwest_error,-0.7751236,Southwest
339,01-Aug-10,england_error,-1.7584763,England
340,01-Sep-10,northwest_error,0.55286407,Northwest
341,01-Sep-10,westmidlands_error,-0.92775726,Westmidlands
342,01-Sep-10,london_error,-3.0679092,London
343,01-Sep-10,southwest_error,-0.62754822,Southwest
344,01-Sep-10,england_error,-1.7142792,England
345,01-Oct-10,northwest_error,0.66010284,Northwest
346,01-Oct-10,westmidlands_error,-0.94555664,Westmidlands
347,01-Oct-10,london_error,-2.94841,London
348,01-Oct-10,southwest_error,-0.67506409,Southwest
349,01-Oct-10,england_error,-1.6650543,England
350,01-Nov-10,northwest_error,0.76424408,Northwest
351,01-Nov-10,westmidlands_error,-0.96727753,Westmidlands
352,01-Nov-10,london_error,-2.9349365,London
353,01-Nov-10,southwest_error,-0.72749329,Southwest
354,01-Nov-10,england_error,-1.7208481,England
355,01-Dec-10,northwest_error,0.77147675,Northwest
356,01-Dec-10,westmidlands_error,-1.0850677,Westmidlands
357,01-Dec-10,london_error,-2.7154465,London
358,01-Dec-10,southwest_error,-0.77500153,Southwest
359,01-Dec-10,england_error,-1.5716248,England
360,01-Jan-11,northwest_error,0.77562714,Northwest
361,01-Jan-11,westmidlands_error,-1.0067825,Westmidlands
362,01-Jan-11,london_error,-2.5019608,London
363,01-Jan-11,southwest_error,-0.82743073,Southwest
364,01-Jan-11,england_error,-1.4274216,England
365,01-Feb-11,northwest_error,0.67976379,Northwest
366,01-Feb-11,westmidlands_error,-1.1285019,Westmidlands
367,01-Feb-11,london_error,-2.3884888,London
368,01-Feb-11,southwest_error,-0.9798584,Southwest
369,01-Feb-11,england_error,-1.3832245,England
370,01-Mar-11,northwest_error,0.6931839,Northwest
371,01-Mar-11,westmidlands_error,-1.138443,Westmidlands
372,01-Mar-11,london_error,-2.3569565,London
373,01-Mar-11,southwest_error,-0.91753387,Southwest
374,01-Mar-11,england_error,-1.4239502,England
375,01-Apr-11,northwest_error,0.79732513,Northwest
376,01-Apr-11,westmidlands_error,-1.1601639,Westmidlands
377,01-Apr-11,london_error,-2.2434845,London
378,01-Apr-11,southwest_error,-0.96995544,Southwest
379,01-Apr-11,england_error,-1.3797455,England
380,01-May-11,northwest_error,0.8045578,Northwest
381,01-May-11,westmidlands_error,-1.2779617,Westmidlands
382,01-May-11,london_error,-2.1239853,London
383,01-May-11,southwest_error,-1.0174713,Southwest
384,01-May-11,england_error,-1.3305206,England
385,01-Jun-11,northwest_error,0.80870819,Northwest
386,01-Jun-11,westmidlands_error,-1.2996826,Westmidlands
387,01-Jun-11,london_error,-2.0105133,London
388,01-Jun-11,southwest_error,-0.96989441,Southwest
389,01-Jun-11,england_error,-1.2863159,England
390,01-Jul-11,northwest_error,0.71594238,Northwest
391,01-Jul-11,westmidlands_error,-1.2174683,Westmidlands
392,01-Jul-11,london_error,-1.8910141,London
393,01-Jul-11,southwest_error,-1.0174026,Southwest
394,01-Jul-11,england_error,-1.2370911,England
395,01-Aug-11,northwest_error,0.72008514,Northwest
396,01-Aug-11,westmidlands_error,-1.2391891,Westmidlands
397,01-Aug-11,london_error,-1.677536,London
398,01-Aug-11,southwest_error,-1.0698318,Southwest
399,01-Aug-11,england_error,-1.192894,England
400,01-Sep-11,northwest_error,0.82422638,Northwest
401,01-Sep-11,westmidlands_error,-1.1609116,Westmidlands
402,01-Sep-11,london_error,-1.4640579,London
403,01-Sep-11,southwest_error,-0.822258,Southwest
404,01-Sep-11,england_error,-1.0486908,England
405,01-Oct-11,northwest_error,0.83145905,Northwest
406,01-Oct-11,westmidlands_error,-1.1787109,Westmidlands
407,01-Oct-11,london_error,-1.3445663,London
408,01-Oct-11,southwest_error,-0.86977386,Southwest
409,01-Oct-11,england_error,-0.99946594,England
410,01-Nov-11,northwest_error,0.83560944,Northwest
411,01-Nov-11,westmidlands_error,-1.2004242,Westmidlands
412,01-Nov-11,london_error,-1.1310883,London
413,01-Nov-11,southwest_error,-0.72219849,Southwest
414,01-Nov-11,england_error,-0.95526123,England
415,01-Dec-11,northwest_error,0.74284363,Northwest
416,01-Dec-11,westmidlands_error,-1.2182159,Westmidlands
417,01-Dec-11,london_error,-0.8115921,London
418,01-Dec-11,southwest_error,-0.76970673,Southwest
419,01-Dec-11,england_error,-0.7060318,England
420,01-Jan-12,northwest_error,0.74697876,Northwest
421,01-Jan-12,westmidlands_error,-1.1399384,Westmidlands
422,01-Jan-12,london_error,-0.49811554,London
423,01-Jan-12,southwest_error,-0.72213745,Southwest
424,01-Jan-12,england_error,-0.66183472,England
425,01-Feb-12,northwest_error,0.75112152,Northwest
426,01-Feb-12,westmidlands_error,-1.2616577,Westmidlands
427,01-Feb-12,london_error,-0.38463593,London
428,01-Feb-12,southwest_error,-0.77456665,Southwest
429,01-Feb-12,england_error,-0.61763763,England
430,01-Mar-12,northwest_error,0.76145172,Northwest
431,01-Mar-12,westmidlands_error,-1.3755264,Westmidlands
432,01-Mar-12,london_error,-0.35913086,London
433,01-Mar-12,southwest_error,-0.91716003,Southwest
434,01-Mar-12,england_error,-0.66338348,England
435,01-Apr-12,northwest_error,0.76558685,Northwest
436,01-Apr-12,westmidlands_error,-1.3972473,Westmidlands
437,01-Apr-12,london_error,0.054351807,London
438,01-Apr-12,southwest_error,-1.0695877,Southwest
439,01-Apr-12,england_error,-0.51918793,England
